group_id,problem_name,submission_id,username,language,identical_submissions_in_group
18,unknown,1390056163,unknown,unknown,2
18,unknown,1390056061,unknown,unknown,2
19,unknown,1390056158,unknown,unknown,8
19,unknown,1390056103,unknown,unknown,8
19,unknown,1390056056,unknown,unknown,8
19,unknown,1390055964,unknown,unknown,8
19,unknown,1390055876,unknown,unknown,8
19,unknown,1390055760,unknown,unknown,8
19,unknown,1390055674,unknown,unknown,8
19,unknown,1390055373,unknown,unknown,8
20,unknown,1390056131,unknown,unknown,2
20,unknown,1390056048,unknown,unknown,2
21,unknown,1390056121,unknown,unknown,13
21,unknown,1390056040,unknown,unknown,13
21,unknown,1390055733,unknown,unknown,13
21,unknown,1390055641,unknown,unknown,13
21,unknown,1390055609,unknown,unknown,13
21,unknown,1390055573,unknown,unknown,13
21,unknown,1390055495,unknown,unknown,13
21,unknown,1390055198,unknown,unknown,13
21,unknown,1390055060,unknown,unknown,13
21,unknown,1390055042,unknown,unknown,13
21,unknown,1390054999,unknown,unknown,13
21,unknown,1390054897,unknown,unknown,13
21,unknown,1390054563,unknown,unknown,13
22,unknown,1390056095,unknown,unknown,27
22,unknown,1390056067,unknown,unknown,27
22,unknown,1390056017,unknown,unknown,27
22,unknown,1390055872,unknown,unknown,27
22,unknown,1390055870,unknown,unknown,27
22,unknown,1390055824,unknown,unknown,27
22,unknown,1390055801,unknown,unknown,27
22,unknown,1390055786,unknown,unknown,27
22,unknown,1390055774,unknown,unknown,27
22,unknown,1390055715,unknown,unknown,27
22,unknown,1390055667,unknown,unknown,27
22,unknown,1390055654,unknown,unknown,27
22,unknown,1390055656,unknown,unknown,27
22,unknown,1390055645,unknown,unknown,27
22,unknown,1390055635,unknown,unknown,27
22,unknown,1390055523,unknown,unknown,27
22,unknown,1390055440,unknown,unknown,27
22,unknown,1390055430,unknown,unknown,27
22,unknown,1390055416,unknown,unknown,27
22,unknown,1390055370,unknown,unknown,27
22,unknown,1390055361,unknown,unknown,27
22,unknown,1390055262,unknown,unknown,27
22,unknown,1390055181,unknown,unknown,27
22,unknown,1390055115,unknown,unknown,27
22,unknown,1390055094,unknown,unknown,27
22,unknown,1390055089,unknown,unknown,27
22,unknown,1390055000,unknown,unknown,27
23,unknown,1390056082,unknown,unknown,2
23,unknown,1390055995,unknown,unknown,2
24,unknown,1390056077,unknown,unknown,3
24,unknown,1390055626,unknown,unknown,3
24,unknown,1390055556,unknown,unknown,3
25,unknown,1390056050,unknown,unknown,3
25,unknown,1390055392,unknown,unknown,3
25,unknown,1390055319,unknown,unknown,3
26,unknown,1390056042,unknown,unknown,4
26,unknown,1390055916,unknown,unknown,4
26,unknown,1390055642,unknown,unknown,4
26,unknown,1390055204,unknown,unknown,4
27,unknown,1390056028,unknown,unknown,3
27,unknown,1390055021,unknown,unknown,3
27,unknown,1390054954,unknown,unknown,3
28,unknown,1390056012,unknown,unknown,8
28,unknown,1390055814,unknown,unknown,8
28,unknown,1390055358,unknown,unknown,8
28,unknown,1390054789,unknown,unknown,8
28,unknown,1390054783,unknown,unknown,8
28,unknown,1390054104,unknown,unknown,8
28,unknown,1390053668,unknown,unknown,8
28,unknown,1390053473,unknown,unknown,8
29,unknown,1390056016,unknown,unknown,2
29,unknown,1390055484,unknown,unknown,2
30,unknown,1390056003,unknown,unknown,15
30,unknown,1390055921,unknown,unknown,15
30,unknown,1390055294,unknown,unknown,15
30,unknown,1390055246,unknown,unknown,15
30,unknown,1390054326,unknown,unknown,15
30,unknown,1390053827,unknown,unknown,15
30,unknown,1390053759,unknown,unknown,15
30,unknown,1390053634,unknown,unknown,15
30,unknown,1390053547,unknown,unknown,15
30,unknown,1390053233,unknown,unknown,15
30,unknown,1390053086,unknown,unknown,15
30,unknown,1390052926,unknown,unknown,15
30,unknown,1390052838,unknown,unknown,15
30,unknown,1390052205,unknown,unknown,15
30,unknown,1390052056,unknown,unknown,15
31,unknown,1390055999,unknown,unknown,3
31,unknown,1390055219,unknown,unknown,3
31,unknown,1390055212,unknown,unknown,3
32,unknown,1390056000,unknown,unknown,2
32,unknown,1390055898,unknown,unknown,2
33,unknown,1390055979,unknown,unknown,2
33,unknown,1390055662,unknown,unknown,2
34,unknown,1390055976,unknown,unknown,7
34,unknown,1390055874,unknown,unknown,7
34,unknown,1390055612,unknown,unknown,7
34,unknown,1390055489,unknown,unknown,7
34,unknown,1390055425,unknown,unknown,7
34,unknown,1390055386,unknown,unknown,7
34,unknown,1390055299,unknown,unknown,7
35,unknown,1390055973,unknown,unknown,19
35,unknown,1390055354,unknown,unknown,19
35,unknown,1390055303,unknown,unknown,19
35,unknown,1390055205,unknown,unknown,19
35,unknown,1390054898,unknown,unknown,19
35,unknown,1390054807,unknown,unknown,19
35,unknown,1390054443,unknown,unknown,19
35,unknown,1390054427,unknown,unknown,19
35,unknown,1390054312,unknown,unknown,19
35,unknown,1390054276,unknown,unknown,19
35,unknown,1390053858,unknown,unknown,19
35,unknown,1390053824,unknown,unknown,19
35,unknown,1390053764,unknown,unknown,19
35,unknown,1390053691,unknown,unknown,19
35,unknown,1390053636,unknown,unknown,19
35,unknown,1390053431,unknown,unknown,19
35,unknown,1390053377,unknown,unknown,19
35,unknown,1390052976,unknown,unknown,19
35,unknown,1390052462,unknown,unknown,19
36,unknown,1390055972,unknown,unknown,27
36,unknown,1390055633,unknown,unknown,27
36,unknown,1390055552,unknown,unknown,27
36,unknown,1390055464,unknown,unknown,27
36,unknown,1390055459,unknown,unknown,27
36,unknown,1390055397,unknown,unknown,27
36,unknown,1390055269,unknown,unknown,27
36,unknown,1390054878,unknown,unknown,27
36,unknown,1390054872,unknown,unknown,27
36,unknown,1390054629,unknown,unknown,27
36,unknown,1390054340,unknown,unknown,27
36,unknown,1390053933,unknown,unknown,27
36,unknown,1390053908,unknown,unknown,27
36,unknown,1390053748,unknown,unknown,27
36,unknown,1390053699,unknown,unknown,27
36,unknown,1390053649,unknown,unknown,27
36,unknown,1390053641,unknown,unknown,27
36,unknown,1390053624,unknown,unknown,27
36,unknown,1390053152,unknown,unknown,27
36,unknown,1390053142,unknown,unknown,27
36,unknown,1390053137,unknown,unknown,27
36,unknown,1390053125,unknown,unknown,27
36,unknown,1390053108,unknown,unknown,27
36,unknown,1390053087,unknown,unknown,27
36,unknown,1390053050,unknown,unknown,27
36,unknown,1390053025,unknown,unknown,27
36,unknown,1390052685,unknown,unknown,27
